Address,Bonus,Communities
0x76e888d1b2d18031b2045ebb1f63642277d67e42,9585,milady
0x5917b7523e0cdda6b4e2c88fe6e1c70138e91ac7,9585,milady
0x39ee560de44327fdccabbf58a5dbb282b76b8ea5,9585,milady
0x82e4d78c6c62d461251fa5a1d4deb9f0fe378e30,9585,milady
0x0e07d202984a878333da0546a45b4fe0bee95960,9585,milady
0xd842777b81eaaba03cbaf405df0379491359e354,9585,milady
0xfbfcfee2bf2529e9926e3b047a065cbcf3b907be,9585,milady
0x000000006fb40b14c78f6d166b5a87bc3bfdd1d5,9585,milady
0x7673b074987fc52fd67b9f9335dca45475a8b5ce,9585,milady
0x9f75c7c19ffeb95b47e62b2c37ffae12de759485,9585,milady
0x4a2c786651229175407d3a2d405d1998bcf40614,9585,milady
0x8b0d15ac244f6cee45ccf32215f3c9c2e30219c6,9585,milady
0x080592cd90f5147357120b3d2725ac1b70517a56,9585,milady
0x87e469f81f42d893f8ef718aa2bbd530a7a08add,9585,milady
0x87e386cedb82cf8f080b3505adae1ef699e65057,9585,milady
0xc6b69b579b94cc2e89ab37c5dd4ede3df05df04e,9585,milady
0x0cc3b5015c678685f3552fb1a1bfa53112b71486,9585,milady
0xe123b7df9a55073b6bb726d87a41ee18375ded6e,9585,milady
0xe2afbb9b38c29f8c4f602ed38f24802e28d232c1,9585,milady
0xb445f4a8dabaa04945bbf3e36c2f1d430d120d6c,9585,milady
0x9831bb48e27a6b74260823c10d15b577e891a37b,9585,milady
0x9ab807cfd32951d5c5c08f9193631846778d0487,9585,milady
0x88b66509762df3c99b272f8c090341e5be70f882,9585,milady
0x1779b02a06dbfd6aaead120136f1ab34ecc8f27d,9585,milady
0xe3f7fda32a28d8655904e84df55f1c7a982d67f0,9585,milady
0xb6c947d8600b1ed8bac01db896e8f6f7a9c152c2,9585,milady
0x17141a7a136d590b8c612a5ac30f237ae9497957,9585,milady
0xeea1c8c70885d8b47dc2a66c441a22c250f7982d,9585,milady
0x451f631bc34fb7c628a08d0070f203db2bbbe06d,9585,milady
0x71cb724ce2bfe95a34ea7578d80d871dad595678,9585,milady
0xf6efd02aa4ca25267d389e54e63f3a763d48e3e2,9585,milady
0x160239a565cf6bea000d5e067b6cabc82b2b1035,9585,milady
0xf0a72469853db74bec02301333f29780285b863d,9585,milady
0x985b03cdc4def39ed62785458f339de0121be4d3,9585,milady
0xfaf02a00b9713084df9bf853dff48de1ab022eb8,9585,milady
0x09725ef806d952605a5d323a8d8b70feedb8f78a,9585,milady
0x89419a8a6af5b6d043e9cc32918fc54788c71861,9585,milady
0x704f04c75734fd5ea9bc189a4870734e3377c27a,9585,milady
0x5ad54f2fc4aefa1e9444854731dd5ca55037da63,9585,milady
0xb681d0210a4e7d2681fd17f7b10db2bfe3e8c962,9585,milady
0x3d7c830d0597f64193ba60549761d24b7265cbe9,9585,milady
0x41bff2c37f54c95cf0fe1143b08cc10f73d1b530,9585,milady
0x4f51085f21a4e3320da641528e9242382b764197,9585,milady
0x0c450eee8c1cb3110ad17aa0bba649870b234f8e,9585,milady
0x8121af94e69e9830135c708578c010a9cfabadce,9585,milady
0xe61385fe0ccccc4a3edc01ad95df93e425c8ed15,9585,milady
0x5986759cd05cb157bfdd9c4fc341697053980a4a,9585,milady
0x75bb94044f5f80e1367b66519e8bd7ee35f92047,9585,milady
0xc4563bc7c2e84becf1f8e651db14ebf7e60286cb,9585,milady
0x8f200917dde44b546c6f9044d47db833c042c0ac,9585,milady
0x3fb5eb6f0d81cd51adb5338cf93bb836838a5278,17161,milady;discord
0xa2147941d95ec05e19d0ab8719664132e33fd5e2,9585,milady
0x37eec60a6d731beb8bb08449d8aaf8a1671e6fcb,9585,milady
0x4ac799e98c87c213a27dbeb510d853a55b1eca51,9585,milady
0x42e2564f90ecfe0f9f72322740679b76fe56ea15,9585,milady
0xe420a18a8fb5878efbaea538646bcf2da7529890,9585,milady
0xd8c73bcef080f33e37ea5a415bb0778ecd72ce3b,9585,milady
0x9a06ccb107c1b4ba7e4c5bf67becbcbbbe0ce74b,9585,milady
0xef3c42eb484ae448cbbe4391d3cc4e16aaab0d24,9585,milady
0xe9d82e35c309c485b851e8820df2df57378b5765,9585,milady
0x37fa73721a520cb70a9eacb6e9f39705ab5baec1,9585,milady
0xb09be033e0b7a59ee8d8fbf0ee0bf4c95b397825,9585,milady
0x3d1f07d3c60268edceea094f1f7732ca8f86e78d,9585,milady
0xbf43e1b48a9810264440bd0caad4e7e55117be1f,9585,milady
0xdda32416e87c475a0bcbc6c2e74190e7c49c1e5f,9585,milady
0x19c25885435292501b5e61cffca2855fb6b2533f,9585,milady
0x89f42ccb1b90103a4b886cc8ee01979492808079,9585,milady
0x347fcfede66de3a1d404d270ed841bcc7ee6d040,9585,milady
0xca695144ed80d2e5f10c8938c08dffbf2516a170,9585,milady
0x87ad3e74a9d79de2d6333e096f42a5f5c6073775,9585,milady
0x6b285532d2ab9850dd82c2bbab90f80b65d718c7,9585,milady
0x61ce3b30554d3e0913ed645a51205f47d8208117,9585,milady
0x25ea026ec746b43f7a73bd3632fd18d46178a90c,9585,milady
0x35b5d0398429785e5071560252e8a33d0bd57248,9585,milady
0xf46ad5d4a7c993284205e63e8dae956ba6aeb03d,9585,milady
0xb169b4541431f1f71aeab6c75e4ba46cb152503a,9585,milady
0xeab06e314012ccef0502d77b7e17b1f0005ff7d1,9585,milady
0xc4dcefbc24bcf5c1be3e4c40b9f1101adfe9df41,9585,milady
0xb68f52fe2583b5a568e7e57dc98c69d93821f6e4,9585,milady
0xf020ff6bbf763747fa8ac77b764f989f9958acc7,9585,milady
0x96d69d41b24a7ce9a5df67662c9177b61709dc44,9585,milady
0xdc8e4916c16290f20119bfeea261e1867c416c46,9585,milady
0x20e58e433bd2a862cce23545ef10da3241a94060,9585,milady
0x5b44baabf9b9831852e9fbb037919e4b170b2477,9585,milady
0x9a181241412a5097952f4bda7c3f5f1345158f3b,9585,milady
0x302c9fd302945294c72e40d11aaf0fa1c8c5f2c6,9585,milady
0xbddae446ed62082a1bec1f0772c11efb8bfd1372,9585,milady
0xa58dd53c7a16cb37a965bdbef18fe445b1ab4d2c,9585,milady
0x04b6867a08e81f2378959ba4b4f41eb086acaa74,9585,milady
0x9c5083dd4838e120dbeac44c052179692aa5dac5,9585,milady
0xec0ca9b54ca6a1415c8bd9a0cc7ebc19e082c37f,9585,milady
0xa91cf41f09ff3aa03f1352bcc89f82c1fc4d01d6,9585,milady
0x0d0619ce282d8b6b7bcf527f5e8a8ee32a1c58d0,9585,milady
0x521daf6b4c7aae964baad18d99d9eb75b5abc592,9585,milady
0x4e9cca41646b60a6817a984c8721d8e7e783c7cc,9585,milady
0x6cc99abc7e8cc8520d1b2d35b50512ed4a7963e2,9585,milady
0xbd3635b6967fe6a3df13597e55db1d454121f30e,9585,milady
0xc950044940e9de74a1e595f7de9ba7b3785d483f,9585,milady
0x17684f441a6d537d67210c7ef3df8341faa1373f,9585,milady
0x5267f1be4178832493c5c66df2c35f10b7e9930d,9585,milady
0x378fa8aadf41be68ef61fc8582495fa4c89e44c4,9585,milady
0xfd6aee13b037fe2644dbff826e3642338a205907,9585,milady
0xed5960a454782c4c9c62aae6e22a8a50c185e50f,9585,milady
0x11baff01074e3323f3b7dc9b1a76b73d415e8e2e,9585,milady
0xcc8c3176c69e8cbb60903cfc91afd383eb6739d7,9585,milady
0xca949bc917ff93bea259d1751a1af1908c69d969,9585,milady
0xfde1b2d8a725df487773b3640ae16bc39b989d06,9585,milady
0xa4b90bc43c93c5a6c2619dda65353084fbe62eb5,9585,milady
0x119a435051ae5795b77e24e4af600f9cffdfffa3,9585,milady
0xdc6634879cef6ed24ef0273daa4a12b34e3d09cc,9585,milady
0x8382705d1b1c61cb417ad7caf361f4981220bf16,9585,milady
0x2f1799d1bdcc4e922280fd5bcea7b6dfe86c2593,9585,milady
0x3b849089bc90ea1a05e8d50559dfb16301032470,9585,milady
0xde1a1e19d76e5d0f136b9b7f879cd8784a65eb38,9585,milady
0xb80d42ae1eada632968a7830f1b9a6fa66bc34f5,9585,milady
0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d,9585,milady
0xd87a9fc25130c68c3ea25437c34e0b9317cd7a3d,9585,milady
0x4e742f907062c8998b2134a54f13b2a1599df96c,9585,milady
0xf7b11423646227bf035edd9aef4d3bd75334ab31,9585,milady
0x300f818133cb321b1099cbd845044390f37e2e22,9585,milady
0x12706fc27f5d92fcbc2ef92df5ba55e0986537fc,9585,milady
0x5f350bf5fee8e254d6077f8661e9c7b83a30364e,18845,milady;metacartel
0x85b7dd231a9b70d44ca82668c53fff4e6b5fc171,9585,milady
0xd095e0f8c72e22319846b643c4bac0cac1f67006,9585,milady
0x97c9fc6dec6e937c86f439426008b21ba22c981d,9585,milady
0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c,9585,milady
0x92c8c35a2a90f2d62969c2417777f72de38e983a,9585,milady
0x43748da96eab61ccf623bf7087ef02e70478211e,9585,milady
0xaf229c64caf25449ece976f2b1386e30b2f3ec9e,9585,milady
0xe6e49a2e244237c3cc1c74a43b86fbcc87391d8f,9585,milady
0x392614fec7d5e606a9598def13c9b0d6db425aab,9585,milady
0x5b283fc551e1a51eace4b96f8ab70680caae5879,9585,milady
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,9585,milady
0x457ebcaab3b5b94708207481b9510a983e671517,9585,milady
0x029d3493573435289fba0aca21b23e129b46809c,9585,milady
0x5e4c6ed90ad48444e5e6977af3d5fa6cdc60a1c0,9585,milady
0x26ba43459a9e2ea7eb7c1bb791f64f2457537e4e,9585,milady
0x772f840d9011b7a4f6e8e684d4bd4ee0ddeb2a50,9585,milady
0x49ffe4429610efa450b0654ea9a20e0eb4960920,9585,milady
0xb201ab64a457fbdf9efdf2f0d99f3726caf17335,9585,milady
0x5e4ec451510602f23b7be507657a716462e2509f,9585,milady
0xd5f64d09402118a63e3183c1224c721d8b9d59a1,9585,milady
0x48e180b4ece7478511bdc7479838a142cbc07879,9585,milady
0x268d06b84f8351c892276fd34d23a0517b6110d1,9585,milady
0xb09cfba289fa1148ea67aa3f35d51338fe37f839,9585,milady
0x1ba6b82641c77ab1fc7bc734c5c3628199a8967d,9585,milady
0xe5859cbc7a5c954d33480e67266c2bbc919a966e,9585,milady
0xb999638f87be946698b76cb220b63b169852170b,9585,milady
0xc37c9afb9d81efdf3c021e5840ecdee84ec934a7,9585,milady
0x05b2778d6b1dc9dd5b91515deeef21f1c883b572,9585,milady
0x8ef9ba973b2eb977d46fd9eed561bc0d18f891d0,9585,milady
0x28710687f37e64799c59548607e2d1e1c8769ea6,9585,milady
0x334bf565f05eedb3972259994f4bbad1736d3790,9585,milady
0xe41bfd03e971fd1196580bbabe5ca61879be81d1,9585,milady
0x251c512c5e8bee1528d7a307e11e9ce70244544b,9585,milady
0x1ac08405e96e3561893eef86f194acdb9a24d38d,9585,milady
0xe9081b69d649e174be461c7861fc42e81a1d9508,9585,milady
0xe381342e28d655734bf4b21f296a845ee4a427be,9585,milady
0x027da06f9247832d294b3004f1565c8e97382a1f,9585,milady
0xd6ca28583903dec5dbb0f31f404e15a65b9f31a5,9585,milady
0x739535fb0a98162584b64eeacd00607a64ee8896,9585,milady
0xb0c26305d4f4ef63f97b7d58010bbff3ce9b36b3,9585,milady
0x0fb95b8c2d19f1cbd2dfe9ecb3bdf992cb9e8b92,9585,milady
0xb69bb8e902c5849da3b46e61e6edb0096465eaac,9585,milady
0x856166900d69f71594e456db3cc1cd0ac16dc590,9585,milady
0xd0bca41b529ce2508cec4da77720783ccd2be921,9585,milady
0x81f2cab85c5b3d0246a38c1b3a8ce93756a734af,9585,milady
0x5021ca11545bb39adea9cf8cbbeee9c3182a5c36,9585,milady
0x73ccca7296dfedb88bfd68ceda833d8d79abb35f,9585,milady
0x38566e91d811141de6af2a9e7e4886ccd5c0186e,9585,milady
0xc6a95643d3bd4e914ec5b8ffb9f9a5ad1503940f,9585,milady
0x695153d278cf24c33223f8f34009bc751e2b2edf,9585,milady
0xccf8f86036e2f037f79343d83075beb53d4676c0,9585,milady
0xbff3f42a1221b7de109ebc6bdfa68deb2e400707,9585,milady
0xd739fa4b0e4b7d543858d313e108564cd541ba8b,9585,milady
0x42e49ad62abdb984884f0beea5a0ae983bb95bc4,9585,milady
0x3fa7a99f4746dfccb5d62e0ac9b8973e7a6d9acb,9585,milady
